ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.0,0.0,,0.0,6.0,5.0,0.0,False,,4.4,7541.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,191.0,B09R2BFL61,2026-03-29,,,,,
In Stock,ACTIVE,0.429,173.0,57.72,3.0,7.0,5.0,0.0,False,,4.4,7534.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,194.0,B09R2BFL61,2026-03-28,,,,,
In Stock,ACTIVE,0.143,58.0,57.72,1.0,7.0,5.0,0.0,False,,4.4,7529.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,195.0,B09R2BFL61,2026-03-27,,,,,
In Stock,ACTIVE,0.143,58.0,57.72,1.0,7.0,5.0,0.0,False,,4.4,7523.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,195.0,B09R2BFL61,2026-03-26,,,,,
In Stock,ACTIVE,0.333,173.0,57.72,3.0,9.0,5.0,0.0,False,,4.4,7516.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,196.0,B09R2BFL61,2026-03-25,,,,,
Not Buyable,ACTIVE,0.625,289.0,57.72,5.0,8.0,5.0,0.0,False,,4.4,7506.0,,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],False,False,False,True,Grooming,204.0,B09R2BFL61,2026-03-24,,,,,
In Stock,ACTIVE,0.4,115.0,57.72,2.0,5.0,5.0,0.0,False,,4.4,7502.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,206.0,B09R2BFL61,2026-03-23,,,,,
In Stock,ACTIVE,0.5,115.0,57.72,2.0,4.0,5.0,0.0,False,,4.4,7495.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,209.0,B09R2BFL61,2026-03-22,,,,,
In Stock,ACTIVE,0.35,404.0,57.72,7.0,20.0,5.0,0.0,False,,4.4,7486.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,214.0,B09R2BFL61,2026-03-21,,,,,
In Stock,ACTIVE,0.5,115.0,57.72,2.0,4.0,5.0,0.0,False,,4.4,7472.0,57.72,,,3.0,Wags & Wiggles,,B09R2BFL61 (Wags & Wiggles Nourish Moisturizing Wipes 100ct & *** 12 Pc Multi-Pk ***),[],True,True,False,True,Grooming,217.0,B09R2BFL61,2026-03-20,,,,,
