ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.256,147.0,6.99,21.0,82.0,4.0,0.0,True,,4.6,583.0,6.99,,,130.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2422.0,B0B61XLTW8,2026-03-30,,,,,
In Stock,ACTIVE,0.163,105.0,6.99,15.0,92.0,4.0,0.0,True,,4.6,583.0,6.99,,,134.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2423.0,B0B61XLTW8,2026-03-29,,,,,
In Stock,ACTIVE,0.273,126.0,6.99,18.0,66.0,4.0,0.0,True,,4.6,583.0,6.99,,,119.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2433.0,B0B61XLTW8,2026-03-28,,,,,
In Stock,ACTIVE,0.19,84.0,6.99,12.0,63.0,4.0,0.0,True,,4.6,581.0,6.99,,,121.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2417.0,B0B61XLTW8,2026-03-27,,,,,
In Stock,ACTIVE,0.238,105.0,6.99,15.0,63.0,4.0,0.0,True,,4.6,580.0,6.03,,,111.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2407.0,B0B61XLTW8,2026-03-26,,,,,
In Stock,ACTIVE,0.25,126.0,6.98,18.0,72.0,4.0,0.0,True,,4.6,579.0,6.99,,,117.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2408.0,B0B61XLTW8,2026-03-25,,,,,
In Stock,ACTIVE,0.361,210.0,6.99,30.0,83.0,4.0,0.0,True,,4.6,579.0,6.02,,,97.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2394.0,B0B61XLTW8,2026-03-24,,,,,
In Stock,ACTIVE,0.2,98.0,6.99,14.0,70.0,4.0,0.0,True,,4.6,578.0,6.99,,,122.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2364.0,B0B61XLTW8,2026-03-23,,,,,
In Stock,ACTIVE,0.233,196.0,6.99,28.0,120.0,4.0,0.0,True,,4.6,578.0,6.99,,,103.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2370.0,B0B61XLTW8,2026-03-22,,,,,
In Stock,ACTIVE,0.19,77.0,6.99,11.0,58.0,4.0,0.0,True,,4.6,578.0,6.99,,,116.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2436.0,B0B61XLTW8,2026-03-21,,,,,
In Stock,ACTIVE,0.253,133.0,6.99,19.0,75.0,4.0,0.0,True,,4.6,578.0,6.99,,,115.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2330.0,B0B61XLTW8,2026-03-20,,,,,
In Stock,ACTIVE,0.222,126.0,6.99,18.0,81.0,4.0,0.0,True,,4.6,578.0,6.99,,,110.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2354.0,B0B61XLTW8,2026-03-19,,,,,
In Stock,ACTIVE,0.202,119.0,6.99,17.0,84.0,4.0,0.0,True,,4.6,578.0,6.99,,,115.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2342.0,B0B61XLTW8,2026-03-18,,,,,
In Stock,ACTIVE,0.259,147.0,6.99,21.0,81.0,4.0,0.0,True,,4.6,577.0,6.99,,,104.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2366.0,B0B61XLTW8,2026-03-17,,,,,
In Stock,ACTIVE,0.154,140.0,6.99,20.0,130.0,4.0,0.0,True,,4.6,577.0,6.99,,,109.0,Glad,,"B0B61XLTW8 (Glad - 16oz Paper Bowls, 40ct - Happy Daisies)",[],True,False,True,True,Disposable Tabletop,2380.0,B0B61XLTW8,2026-03-16,,,,,
