ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.196,630.0,8.18,77.0,393.0,4.0,0.0,True,,4.9,676.0,8.2,,,106.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1322.0,B0BX4GR82W,2026-01-14,,,,,
In Stock,ACTIVE,0.22,632.0,8.21,77.0,350.0,4.0,0.0,True,,4.9,675.0,8.22,,,93.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1345.0,B0BX4GR82W,2026-01-13,,,,,
In Stock,ACTIVE,0.184,550.0,8.2,67.0,365.0,4.0,0.0,True,,4.9,674.0,8.21,,,89.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1389.0,B0BX4GR82W,2026-01-12,,,,,
In Stock,ACTIVE,0.143,550.0,8.2,67.0,469.0,4.0,0.0,True,,4.9,673.0,8.21,,,107.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1509.0,B0BX4GR82W,2026-01-11,,,,,
In Stock,ACTIVE,0.219,722.0,8.2,88.0,402.0,4.0,0.0,True,,4.9,672.0,8.2,,,118.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1469.0,B0BX4GR82W,2026-01-10,,,,,
In Stock,ACTIVE,0.219,672.0,8.2,82.0,374.0,4.0,0.0,True,,4.9,671.0,8.19,,,117.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1539.0,B0BX4GR82W,2026-01-09,,,,,
In Stock,ACTIVE,0.16,491.0,8.18,60.0,374.0,5.0,0.0,True,,4.9,671.0,8.19,,,108.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1562.0,B0BX4GR82W,2026-01-08,,,,,
In Stock,ACTIVE,0.183,582.0,8.2,71.0,388.0,5.0,0.0,True,,4.9,670.0,8.22,,,112.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1634.0,B0BX4GR82W,2026-01-07,,,,,
In Stock,ACTIVE,0.199,682.0,8.21,83.0,417.0,5.0,0.0,True,,4.9,668.0,8.22,,,93.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1698.0,B0BX4GR82W,2026-01-06,,,,,
In Stock,ACTIVE,0.198,591.0,8.21,72.0,364.0,5.0,0.0,True,,4.9,664.0,8.22,,,99.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1747.0,B0BX4GR82W,2026-01-05,,,,,
In Stock,ACTIVE,0.164,614.0,8.29,74.0,452.0,5.0,0.0,True,,4.9,663.0,8.22,,,97.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1823.0,B0BX4GR82W,2026-01-04,,,,,
In Stock,ACTIVE,0.114,393.0,8.2,48.0,421.0,5.0,0.0,True,,4.9,662.0,8.22,,,104.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1905.0,B0BX4GR82W,2026-01-03,,,,,
In Stock,ACTIVE,0.157,532.0,8.18,65.0,413.0,5.0,0.0,True,,4.9,661.0,8.19,,,125.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,1961.0,B0BX4GR82W,2026-01-02,,,,,
In Stock,ACTIVE,0.15,466.0,8.18,57.0,381.0,5.0,0.0,True,,4.9,661.0,8.17,,,146.0,Glad for Kids (Disney),,"B0BX4GR82W (G4K Disney - 8.5"" Round Paper Plates, 40ct - Mickey & Friends)",[],True,False,True,True,Disposable Tabletop,2034.0,B0BX4GR82W,2026-01-01,,,,,
