ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.229,344.0,18.13,19.0,83.0,7.0,0.0,True,,4.5,16467.0,17.97,0.0117096018735363,0.2,6.0,Fresh Step,2.568,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1511.0,B09NWBKXD1,2025-11-29,12.84,17.97,5.0,427.0,1.0
In Stock,ACTIVE,0.329,449.0,17.97,25.0,76.0,7.0,0.0,True,,4.5,16448.0,17.97,0.006369426751592357,0.0,6.0,Fresh Step,2.204,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1446.0,B09NWBKXD1,2025-11-28,11.02,0.0,5.0,785.0,0.0
In Stock,ACTIVE,0.468,647.0,17.97,36.0,77.0,7.0,0.0,True,,4.5,16447.0,17.97,0.008648648648648649,0.125,6.0,Fresh Step,2.12,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1451.0,B09NWBKXD1,2025-11-27,16.96,17.97,8.0,925.0,1.0
In Stock,ACTIVE,0.649,668.0,18.06,37.0,57.0,7.0,0.0,True,,4.5,16440.0,17.97,0.005141388174807198,0.5,6.0,Fresh Step,2.31,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1427.0,B09NWBKXD1,2025-11-26,4.62,10.99,2.0,389.0,1.0
In Stock,ACTIVE,0.541,719.0,17.97,40.0,74.0,7.0,0.0,True,,4.5,16432.0,17.97,0.00725689404934688,0.4,6.0,Fresh Step,1.944,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1391.0,B09NWBKXD1,2025-11-25,9.72,35.87,5.0,689.0,2.0
In Stock,ACTIVE,0.5,620.0,17.23,36.0,72.0,7.0,0.0,True,,4.5,16421.0,17.97,0.0,,5.0,Fresh Step,,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1346.0,B09NWBKXD1,2025-11-24,0.0,0.0,0.0,659.0,0.0
In Stock,ACTIVE,0.481,660.0,16.92,39.0,81.0,7.0,0.0,True,,4.5,16416.0,17.97,0.001463057790782736,0.25,5.0,Fresh Step,2.11,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1427.0,B09NWBKXD1,2025-11-23,8.44,17.97,4.0,2734.0,1.0
In Stock,ACTIVE,0.4379999999999999,562.0,17.58,32.0,73.0,7.0,0.0,True,,4.5,16405.0,17.97,0.0,,5.0,Fresh Step,,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1243.0,B09NWBKXD1,2025-11-22,0.0,0.0,0.0,467.0,0.0
In Stock,ACTIVE,0.459,676.0,17.32,39.0,85.0,7.0,0.0,True,,4.5,16401.0,17.97,0.00564516129032258,0.0,3.0,Fresh Step,2.272857142857143,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1233.0,B09NWBKXD1,2025-11-21,15.91,0.0,7.0,1240.0,0.0
In Stock,ACTIVE,0.453,663.0,17.0,39.0,86.0,7.0,0.0,True,,4.5,16389.0,17.97,,,3.0,Fresh Step,,"B09NWBKXD1 (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15 Ounce Bottle - 3 Pack)",[],True,True,True,True,Litter Accessories,1240.0,B09NWBKXD1,2025-11-20,,,,,
