ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.07400000000000001,23.0,5.72,4.0,54.0,3.0,0.0,False,,4.0,2617.0,10.91,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1228.0,B0CMVBFPZN,2026-04-24,,,,,
In Stock,ACTIVE,0.0,7.0,,0.0,75.0,3.0,0.0,False,,4.0,2615.0,10.52,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1196.0,B0CMVBFPZN,2026-04-23,,,,,
In Stock,ACTIVE,0.106,35.0,5.01,7.0,66.0,3.0,0.0,False,,4.0,2578.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1176.0,B0CMVBFPZN,2026-04-22,,,,,
In Stock,ACTIVE,0.29,72.0,3.99,18.0,62.0,3.0,0.0,False,,4.0,2577.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1177.0,B0CMVBFPZN,2026-04-21,,,,,
In Stock,ACTIVE,0.321,68.0,3.99,17.0,53.0,3.0,0.0,False,,4.0,2578.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1154.0,B0CMVBFPZN,2026-04-20,,,,,
In Stock,ACTIVE,0.219,56.0,3.99,14.0,64.0,3.0,0.0,False,,4.0,2578.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1171.0,B0CMVBFPZN,2026-04-19,,,,,
In Stock,ACTIVE,0.328,84.0,3.99,21.0,64.0,3.0,0.0,False,,4.0,2577.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,False,True,Air Care,1158.0,B0CMVBFPZN,2026-04-18,,,,,
In Stock,ACTIVE,0.377,80.0,3.99,20.0,53.0,0.0,0.0,False,,4.0,2577.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1165.0,B0CMVBFPZN,2026-04-17,,,,,
In Stock,ACTIVE,0.429,120.0,3.99,30.0,70.0,3.0,0.0,False,,4.0,2577.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1249.0,B0CMVBFPZN,2026-04-16,,,,,
In Stock,ACTIVE,0.5710000000000001,112.0,3.99,28.0,49.0,3.0,0.0,False,,4.0,2577.0,3.99,,,10.0,Clorox,,B0CMVBFPZN (Clorox Fraganzia - Gel Air Freshener Cone - 6oz - Cherry Burst),[],True,False,True,True,Air Care,1277.0,B0CMVBFPZN,2026-04-15,,,,,
