ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.0,,,,9.0,5.0,0.0,False,,4.9,563.0,56.01,,,253.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-05-11,,,,,
In Stock,ACTIVE,0.0,,,,6.0,5.0,0.0,False,,4.9,563.0,56.01,,,255.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-05-10,,,,,
Not Buyable,ACTIVE,0.0,,,,13.0,,,False,,,,,,,264.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],False,False,False,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-05-09,,,,,
In Stock,ACTIVE,0.0,,,,8.0,5.0,0.0,False,,4.9,562.0,56.09,,,277.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-05-08,,,,,
Redirect,ACTIVE,0.0,,,,5.0,0.0,0.0,False,,,,,,,247.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],False,False,False,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-07,,,,,
Redirect,ACTIVE,,,,,,0.0,0.0,False,,,,,,,291.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],False,False,False,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-06,,,,,
In Stock,ACTIVE,0.0,,,,2.0,5.0,0.0,False,,4.9,560.0,56.16,,,269.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-05,,,,,
In Stock,ACTIVE,0.0,,,,12.0,5.0,0.0,False,,4.9,560.0,68.21,,,251.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-04,,,,,
In Stock,ACTIVE,0.0,,,,10.0,5.0,0.0,False,,4.9,560.0,68.52,,,244.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-03,,,,,
In Stock,ACTIVE,0.0,,,,12.0,5.0,0.0,False,,4.9,559.0,68.52,,,266.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-02,,,,,
In Stock,ACTIVE,0.071,69.0,68.52,1.0,14.0,5.0,0.0,False,,4.9,560.0,68.52,,,251.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,22.0,B0GF3MTLP2,2026-05-01,,,,,
In Stock,ACTIVE,0.0,,,,5.0,5.0,0.0,False,,4.9,560.0,68.52,,,250.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-04-30,,,,,
In Stock,ACTIVE,0.0,,,,4.0,5.0,0.0,False,,4.9,559.0,68.57,,,232.0,Glad for Kids (Disney),,"B0GF3MTLP2 (Glad Kids - 8.5"" Round Paper Plate - 40ct - Pink Minnie & *** 8 Pc Multi-Pk ***)",[],True,False,True,True,Disposable Tabletop,23.0,B0GF3MTLP2,2026-04-29,,,,,
