ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,1.0,58.0,58.09,1.0,1.0,8.0,0.0,True,,4.5,16008.0,58.09,,,76.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,136.0,B09R26MQ3W,2025-10-04,,,,,
In Stock,ACTIVE,0.0,,,,8.0,8.0,0.0,True,,4.5,16003.0,58.09,,,77.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,132.0,B09R26MQ3W,2025-10-03,,,,,
In Stock,ACTIVE,-0.167,-59.0,59.28,-1.0,6.0,8.0,0.0,True,,4.5,15998.0,59.28,,,80.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,130.0,B09R26MQ3W,2025-10-02,,,,,
In Stock,ACTIVE,0.125,59.0,59.28,1.0,8.0,8.0,0.0,True,,4.5,15985.0,59.28,,,82.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,129.0,B09R26MQ3W,2025-10-01,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,6.0,8.0,0.0,True,,4.5,15976.0,59.28,,,82.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,100.0,B09R26MQ3W,2025-09-30,,,,,
In Stock,ACTIVE,0.167,119.0,59.28,2.0,12.0,8.0,0.0,True,,4.5,15954.0,59.28,,,80.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,101.0,B09R26MQ3W,2025-09-29,,,,,
In Stock,ACTIVE,0.125,59.0,59.28,1.0,8.0,8.0,0.0,True,,4.5,15955.0,59.28,,,78.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,96.0,B09R26MQ3W,2025-09-28,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,7.0,8.0,0.0,True,,4.5,15954.0,59.28,,,79.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,96.0,B09R26MQ3W,2025-09-27,,,,,
In Stock,ACTIVE,0.0,,,,7.0,8.0,0.0,True,,4.5,15950.0,59.28,,,79.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,96.0,B09R26MQ3W,2025-09-26,,,,,
In Stock,ACTIVE,-0.167,-59.0,59.28,-1.0,6.0,8.0,0.0,True,,4.5,15945.0,59.28,,,77.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,91.0,B09R26MQ3W,2025-09-25,,,,,
In Stock,ACTIVE,0.133,119.0,59.28,2.0,15.0,8.0,0.0,True,,4.5,15936.0,59.28,,,82.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,88.0,B09R26MQ3W,2025-09-24,,,,,
In Stock,ACTIVE,0.167,59.0,59.28,1.0,6.0,8.0,0.0,True,,4.5,15930.0,59.28,,,82.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,88.0,B09R26MQ3W,2025-09-23,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,5.0,8.0,0.0,True,,4.5,15924.0,59.28,,,80.0,Fresh Step,,"B09R26MQ3W (Fresh Step Litter Box Scent Crystals in Fresh Scent, 15oz & *** 12 Pc Multi-Pk ***)",[],True,True,True,True,Litter Accessories,89.0,B09R26MQ3W,2025-09-22,,,,,
